mapping_id,mapping_status,user_topic_id,user_topic_label,user_valid_rows_common_window,developer_topic_id,developer_topic_label,developer_valid_rows_common_window,mapping_rationale,manual_review_status,validation_decision,validation_note
M001,matched,3,Customization,34204,9.0,Customization,12511.0,"Both topics discuss configurability, personalization, and custom VR experiences.",validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M002,matched,6,Game Graphics,39023,4.0,Graphics Optimization,5750.0,User-visible graphics quality corresponds to developer optimization of display and rendering quality.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M003,matched,6,Game Graphics,39023,11.0,Rendering Issues,4314.0,Graphics complaints often surface as rendering problems in developer discussions.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M004,matched,22,Light Design,22118,11.0,Rendering Issues,4314.0,Lighting and visual presentation depend on rendering implementation.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M005,matched,36,Sound Design,14977,34.0,Audio and Visual,4604.0,User sound-design comments align with developer audio/visual enhancement discussions.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M006,matched,1,Audio Interactions,20045,34.0,Audio and Visual,4604.0,Both topics concern audio as part of VR interaction and presentation.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M007,matched,7,Game Interface,16194,24.0,Environment & Interface.,3661.0,User-facing interface concerns correspond to developer environment/interface implementation.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M008,matched,41,UI Design,18191,0.0,Layout Challenges,5950.0,UI design feedback corresponds to layout and interface challenges in development.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M009,matched,41,UI Design,18191,24.0,Environment & Interface.,3661.0,Both concern the design and implementation of usable VR interfaces.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M010,matched,16,Input Methods,16274,3.0,Input Methods,5342.0,Direct semantic match on input mechanisms.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M011,matched,16,Input Methods,16274,36.0,Controller,4461.0,Controller support is a concrete implementation-side counterpart to user input-method feedback.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M012,matched,18,Interaction Methods,14373,12.0,Interaction Mechanics,4010.0,User interaction methods correspond to developer interaction-mechanics work.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M013,matched,18,Interaction Methods,14373,20.0,Player Interaction,5079.0,Both describe how players act within and engage with VR environments.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M014,matched,8,Game Mechanics,33917,32.0,Game Elements,5158.0,Game mechanics are implemented through concrete game elements and rules.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
