mapping_id,mapping_status,user_topic_id,user_topic_label,user_valid_rows_common_window,developer_topic_id,developer_topic_label,developer_valid_rows_common_window,mapping_rationale,manual_review_status
M001,matched,3,Customization,34204,9,Customization,12511,"Both topics discuss configurability, personalization, and custom VR experiences.",initial_candidate
M002,matched,6,Game Graphics,39023,4,Graphics Optimization,5750,User-visible graphics quality corresponds to developer optimization of display and rendering quality.,initial_candidate
M003,matched,6,Game Graphics,39023,11,Rendering Issues,4314,Graphics complaints often surface as rendering problems in developer discussions.,initial_candidate
M004,matched,22,Light Design,22118,11,Rendering Issues,4314,Lighting and visual presentation depend on rendering implementation.,initial_candidate
M005,matched,36,Sound Design,14977,34,Audio and Visual,4604,User sound-design comments align with developer audio/visual enhancement discussions.,initial_candidate
M006,matched,1,Audio Interactions,20045,34,Audio and Visual,4604,Both topics concern audio as part of VR interaction and presentation.,initial_candidate
M007,matched,7,Game Interface,16194,24,Environment & Interface.,3661,User-facing interface concerns correspond to developer environment/interface implementation.,initial_candidate
M008,matched,41,UI Design,18191,0,Layout Challenges,5950,UI design feedback corresponds to layout and interface challenges in development.,initial_candidate
M009,matched,41,UI Design,18191,24,Environment & Interface.,3661,Both concern the design and implementation of usable VR interfaces.,initial_candidate
M010,matched,16,Input Methods,16274,3,Input Methods,5342,Direct semantic match on input mechanisms.,initial_candidate
M011,matched,16,Input Methods,16274,36,Controller,4461,Controller support is a concrete implementation-side counterpart to user input-method feedback.,initial_candidate
M012,matched,18,Interaction Methods,14373,12,Interaction Mechanics,4010,User interaction methods correspond to developer interaction-mechanics work.,initial_candidate
M013,matched,18,Interaction Methods,14373,20,Player Interaction,5079,Both describe how players act within and engage with VR environments.,initial_candidate
M014,matched,8,Game Mechanics,33917,32,Game Elements,5158,Game mechanics are implemented through concrete game elements and rules.,initial_candidate
M015,matched,12,Gameplay Complexity,19335,32,Game Elements,5158,Complexity feedback corresponds to the design and administration of game elements.,initial_candidate
M016,matched,42,VR Elements,13775,32,Game Elements,5158,Direct semantic overlap around in-game VR elements.,initial_candidate
M017,matched,14,Hardware Support,23716,30,Hardware Optimization,3175,User hardware-support concerns correspond to developer hardware optimization.,initial_candidate
M018,matched,14,Hardware Support,23716,28,Physics & Hardware,5263,Both involve hardware capability and integration constraints.,initial_candidate
M019,matched,14,Hardware Support,23716,31,Compatibility Issues,4204,Hardware support often appears as compatibility work on the developer side.,initial_candidate
M020,matched,38,Target Tracking,18617,7,Object Tracking,4398,Tracking concerns directly map to object/tracking implementation discussions.,initial_candidate
M021,matched,25,Motion Design,27447,12,Interaction Mechanics,4010,Motion design affects and is implemented through interaction mechanics.,initial_candidate
M022,matched,2,Comfort Issues,20832,5,Cybersickness,4490,Comfort complaints strongly overlap with cybersickness mitigation.,initial_candidate
M023,matched,29,Physical Reactions,18853,5,Cybersickness,4490,Physical reactions such as dizziness/nausea correspond to cybersickness discussions.,initial_candidate
M024,matched,27,Network connect,19575,18,Streaming and Mapping,4833,Network connectivity feedback corresponds to streaming/mapping infrastructure.,initial_candidate
M025,matched,27,Network connect,19575,15,Server Management,5885,Network reliability depends on server-side configuration and management.,initial_candidate
M026,matched,26,Multiplayer,19360,35,Multiplayer,3125,Direct semantic match on multiplayer experience and implementation.,initial_candidate
M027,matched,26,Multiplayer,19360,15,Server Management,5885,Multiplayer experience depends on server-side support.,initial_candidate
M028,matched,17,Installation,19606,17,Installation and Setup,4215,Direct semantic match on installation/setup workflows.,initial_candidate
M029,matched,35,Setup,16211,17,Installation and Setup,4215,Setup feedback maps to installation and setup work.,initial_candidate
M030,matched,28,Performance Issues,20920,29,Technical Challenges,3852,User performance issues correspond to broader developer technical challenges.,initial_candidate
M031,matched,28,Performance Issues,20920,22,Troubleshooting,5773,Performance problems often trigger troubleshooting discussions.,initial_candidate
M032,matched,39,Technical Issues,17371,29,Technical Challenges,3852,Direct semantic match around technical barriers.,initial_candidate
M033,matched,39,Technical Issues,17371,16,UE Issues,5192,Some user technical issues correspond to engine-specific developer problems.,initial_candidate
M034,matched,40,Troubleshooting,19905,22,Troubleshooting,5773,Direct semantic match on problem diagnosis and resolution.,initial_candidate
M035,matched,40,Troubleshooting,19905,21,Bug Reporting,8063,Troubleshooting often overlaps with reported bugs and fixes.,initial_candidate
M036,matched,32,Privacy & Security,25099,8,Safety,6129,Privacy/security concerns align with broader safety discussions.,initial_candidate
M037,matched,19,Kids and Students,17988,26,Educational Use,6960,Child/student user concerns correspond to educational-use discussions.,initial_candidate
M038,matched,23,Linux OS,18627,33,Cross-platform,7328,Linux support is part of cross-platform compatibility.,initial_candidate
M039,matched,24,Mac OS,21350,33,Cross-platform,7328,Mac support is part of cross-platform compatibility.,initial_candidate
M040,matched,24,Mac OS,21350,25,IOS Development,4349,Apple-platform user concerns partially correspond to iOS development discussions.,initial_candidate
M041,weak_match,20,Language,15100,14,Testing Requirements,3734,Language/localization may surface as testing or publishing requirements; requires manual confirmation.,initial_candidate
M049,matched,15,Horror Game,17692,23,Horror Game,3745,Direct semantic match on horror-game discussions.,initial_candidate
