Review_ID,Text,Dominant_Topic,Top_Keywords
1,bethani ranch home work larg popul peopl syndrom love beamz interact music system jam studio vr absolut love there didnt think would realli involv one love first thing see start play big smile amaz see nonverb peopl open shine honestli like magic smile go onread absolut amaz one addit great benefit see surpris mani lot time theyv told cant interact music experi make feel like anyth short time theyr feel like limit experi,44,"disappoint, trend, asset, keeper, tini, twitch, frighten, under, swap, mysteri"
2,share bless inc nonprofit organ dedic help children adult special need use jam studio vr individu school day care center home facil person seen jam studio vr work wonder popul engag focus use jam studio vr fun thing never thought could also exercis fine gross motor skill cognit skillread more therapeut goal new learn therapi content includ lesson plan therapi guid differ music appreci instrument fundament educ seri excel highli recommend jam studio vr educ health care edit tom reidi director share bless,45,"vast, email, corrupt, utterli, uncontrol, sensit, manag, deal, sincer, seper"
3,start deg behind also height adjust bad look like good app,24,"stream, ride, wannab, cute, mhz, cgi, yall, ai, upper, promis"
4,work indexthu useless,43,"von, five, accident, week, natur, industri, musicrhythm, russian, extrem, viveport"
5,look fantast gameplay seem bit poorli program point put effort tri work expect stuff realli immers shame tri perhap test vive thoroughli idk would recommend despit,32,"batman, acer, stegosauru, moreour, paid, period, bold, gave, two, terrif"
6,play minut control bit quirki use vive control also got motionsick first time graphic okay fantast gameplay call far float differ locat space station activ stuff quit blown station made way back fix scanner motionsick bad time could altf,3,"shooti, partak, viread, acceler, brother, noth, gaug, soud, mor, blue"
7,ultim homebound great job bring handsoff experi watch graviti immers potenti virtual realiti concess made along way make difficult recommend control imprecis disconnect your ingam bodi real world brutal stomach toler motion sick treat mostli slightli interact short film may stread moreil find valu particularli sinc visual genuin standout everyon els price pay experienc eye candi might bit much,1,"exper, spectacular, solitair, straight, wipe, minigolf, trooper, spin, french, school"
8,terribl see control horribl even move around your press anyth cant grip onto object float inch two hand clear object marker got point someth happen station robot voic tell steer ship someth there noth actual steer go control arm noth hand doesnt grab onto control stickread move right hand around move left right still noth cant get back initi seat use joystick room cant get asid bed section eventu end clip station space control camera absolut horribl dont wast money didnt get motion sick though ppl weak,1,"exper, spectacular, solitair, straight, wipe, minigolf, trooper, spin, french, school"
9,voic act comput nice design spacecraft good control unbeliev aw graphic realli pixel jag constantli float float float float made nauseu quickli play mani vr game none made nauseu bare got first room shut,43,"von, five, accident, week, natur, industri, musicrhythm, russian, extrem, viveport"
10,trash rage good titl may caus rage quit inconsist throw catch simpl concept catch trash thrown two robot throw specif recycl bin progress get harder time count ad colorstrash type random item howev thing get thrown far head way catch clumsi hand spike trash one throw launch thread more next may design vive control like rift wmr werent chang properli assist throw besid mayb compet local friend higher score rather bore,19,"minu, fall, descript, revamp, catalog, click, calm, bare, juli, metal"
11,highli recommend immers fun,24,"stream, ride, wannab, cute, mhz, cgi, yall, ai, upper, promis"
12,encount technic problem,35,"moref, minigolf, tweak, pitfal, winki, builder, absurd, right, bounc, level"
13,cant wait see,36,"bear, disc, straightforward, saturn, janu, eu, nostalg, subscribt, dirti, extraordinari"
14,simpl quick probabl fun kid adult drunk cours longer cours like steep would realli good least better,32,"batman, acer, stegosauru, moreour, paid, period, bold, gave, two, terrif"
15,fairli bland inform,18,"wanna, consist, utterli, drop, intut, end, monthli, fireproof, weight, fatal"
16,bad idea difficult use interfac clunki detract everyth difficulti grab time experi full room experi set stand room find thing suppos grab may unreach,25,"supris, hurri, branch, novic, soak, anyon, mustplay, alsread, biggest, violenc"
17,interest firstperson puzzl soul memori claim issu start vr tri point button say dont seem recogn actual button input screen control rift least work like gamepad never play brought vr wish actual hand interact still nice environ play coupl hour pretti sure oread morenli seen coupl locat,5,"vice, circuit, hypatia, whenev, visit, admiss, rickshaw, neon, thoughtout, moreg"
