Topic	Keywords	GPT_Label	Definition	Merged_GPT_Label
0	"customisation, expirience, peoples, wilson, explore, adventures, exactly, keeping, from, ranking"	Customization	"This topic refers to discussions about the customization of VR games, the unique experiences these games provide, exploration elements, and the ranking systems, with a particular focus on games like ""Wilson's Heart"" and other adventure genres."	Customization Customization
1	"drop, insane, raving, recently, reloading, benchmark, multilayer, wonky, gamemode, gap"	Performance Issues	"This topic involves discussions about issues and recent changes in VR games, particularly related to game modes, reloading mechanics, performance benchmarks, and inconsistencies in multilayer interfaces."	Performance Issues
2	"motion, nowhere, thirty, designed, allll, sensible, appear, calibrate, futuristic, fundamental"	Motion Design	"This topic covers discussions about the fundamental design of VR games, focusing on motion calibration, the appearance of in-game elements, and futuristic concepts."	Motion Design Motion Sickness
3	"judging, demeo, bat, regardless, orders, longer, buttery, when, narratives, linux"	Linux	"This topic involves discussions and judgments about the VR game 'Demeo,' specifically focusing on gameplay narratives, control orders, bat character, and its performance on Linux operating systems, with emphasis on visuals and duration of gameplay."	Linux
4	"downloading, sounded, underwhelming, gladly, 70, absolute, scope, adventure, policy, ui"	UI Design	"This topic discusses players' experiences with downloading VR games, their initial impressions (often underwhelming), their willingness to pay around 70 units of currency for a truly expansive adventure, and the user interface and policy issues they encounter."	UI Design
5	"entering, interpolation, spray, settlement, excuse, success, chinese, vey, exorcist, vive"	Language	"This topic discusses the elements of success, settlement, and gameplay techniques like entering and interpolation, specifically in the VR game 'Exorcist' on the Vive platform, often referencing a spray mechanic and the game's Chinese context."	Language
6	"strangers, assault, geforce, first, stomach, pause, champion, needed, walls, greens"	Technical Issues	"This topic covers discussions about interactions with strangers in VR games, instances of virtual assault, use of Nvidia's GeForce for VR gaming, first-time player experiences and issues like stomach discomfort, the need for pause function, champion characters, wall glitches, and graphic settings like greens."	Technical Issues
7	"ie, audio, houses, aftershock, winded, lil, tap, mmorpg, interactions, frustrating"	Audio Interactions	"This topic involves discussions about audio interactions, specifically related to elements like in-game environment sounds (wind, houses, aftershock) and interaction mechanics (tap, lil) in Virtual Reality Massively Multiplayer Online Role-Playing Games (VR MMORPGs), with an emphasis on the resulting experiences, which may be frustrating for some players."	Audio Interactions
8	"scene, spoilers, paths, died, fancy, spend, finishing, plus, odd, deep"	Game Progress Discussions	"This topic encompasses conversations about game scenes, spoiler revelations, game paths, character deaths, unusual or unique elements, and discussions on time spent and strategies for finishing deep, intricate VR games."	Scene Design
9	"refuses, done, reloading, precise, pace, jitteriness, style, purple, take, within"	Style Issues	"This topic covers discussions on issues related to game performance such as reloading, pace, jitteriness, and style preferences, including specific elements like refusal to load and the color purple, within VR games."	Style Issues Game Style 
10	"engineering, installation, important, levers, advise, sharing, casting, disneyland, points, rebooted"	VR Game Installation 	"This topic covers discussions and advice sharing about the installation and engineering aspect of VR games, with a focus on important points, levers, and rebooting issues, and occasionally referencing experiences at Disneyland."	Installation 
11	"woman, lobby, length, unnatural, warned, optional, archangels, greatest, planned, waist"	Female Character Design 	"This topic covers discussions about the representation and design of female characters in VR games, with emphasis on aspects such as optional appearances, their presence in game lobbies, and the criticism of unnatural body proportions."	Female Character Design 
12	"opportunities, such, replayability, unlocked, laughs, named, spots, outstanding, downloaded, fills"	Game Content 	"This topic involves discussions about the replayability of VR games, opportunities to unlock new content, and the outstanding, fun-filled experiences that these games offer."	Game Content  Game Content 
13	"shards, buttons, ha, eager, intend, suggestions, semi, holster, exynos, jeez"	Game Interface 	"This topic covers discussions about interactive elements like shards and buttons, user suggestions for game improvement, performance issues related to Exynos chips, and users' intentions and eagerness to play VR games."	Game Interface 
14	"nvidia, dinosaur, choice, showing, v2, gallery, seven, diablo, beforehand, vehicles"	Hardware	"This topic encompasses discussions about the NVIDIA VR hardware, a range of VR games including dinosaur-themed ones, choice-driven games, gallery-style experiences, vehicle simulations, as well as specific games like Diablo and Seven, with some focus on the version 2 (v2) improvements and concept previews (showing beforehand)."	Hardware
15	"mac, nearly, charging, party, replayable, currently, ask, star, roblox, portable"	Mac OS	"This topic focuses on the discussion of portable Virtual Reality (VR) games such as Roblox, with emphasis on charging issues, compatibility with Mac systems, and aspects of replayability and multiplayer parties."	Mac OS
16	"jump, gimmicks, stable, s8, fired, graphics, hi, pls, adaptation, packs"	VR Graphics	"This topic covers discussions about jumping mechanics, gameplay gimmicks, stability, graphics quality, and adaptation in VR games, along with specific mentions of the Samsung S8 and additional content packs."	VR Graphics VR Graphics
17	"defend, genre, does, rolling, cheers, adult, fisherman, stone, esthetics, fun"	Fishing Adventure Games	"This topic involves discussions on the fun and aesthetics of adult-oriented virtual reality games in the genre of fishing, with specific emphasis on elements such as defense mechanics and rolling actions."	Fishing Adventure Games
18	"dollars, walks, customise, bare, flip, skyrim, sooooo, polished, they, freezing"	Customization	"This topic revolves around the discussion of the cost, customization options, quality, and performance issues in VR games, with a specific focus on games like Skyrim."	
