mapping_id,mapping_status,user_topic_id,user_topic_label,user_valid_rows_common_window,developer_topic_id,developer_topic_label,developer_valid_rows_common_window,mapping_rationale,manual_review_status,validation_decision,validation_note
M042,user_salient_unmatched,0,Adventure Games,15496,,,,Specific game-genre feedback has no clear developer-side counterpart in the final topic list.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M043,user_salient_unmatched,4,Female Character,21710,,,,Representation-focused user concern is not clearly represented in developer topics.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M044,user_salient_unmatched,5,Game Content,30457,,,,Content/replayability feedback is user-salient but lacks a direct developer-topic counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M045,user_salient_unmatched,9,Game Story,14724,,,,Story/narrative feedback is user-salient but lacks a direct developer-topic counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M046,user_salient_unmatched,10,Game Strategy,19616,,,,Gameplay strategy is mainly a user discussion topic.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M047,user_salient_unmatched,11,Game Style,35701,,,,Aesthetic/game-style feedback lacks a direct developer-topic counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M048,user_salient_unmatched,13,Golfing Game,17527,,,,Specific game-genre feedback has no clear developer-side counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M050,user_salient_unmatched,21,LGBTQ,17351,,,,Inclusivity concern is user-salient and largely absent from developer topics.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M051,user_salient_unmatched,30,Play Scale,14143,,,,Play-scale feedback lacks a clear developer-side final topic counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M052,user_salient_unmatched,31,Pricing,33239,,,,Pricing is a user concern without a clear developer-forum counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M053,user_salient_unmatched,33,Rhythm Games,19649,,,,Specific game-genre feedback has no clear developer-side counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M054,user_salient_unmatched,37,Sports Games,18255,,,,Specific game-genre feedback has no clear developer-side counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
