Topic,Keywords,GPT_Label,Definition,Merged_Label,Rows_Common_Window,Valid_Rows_Common_Window
0,"defend, genre, does, rolling, cheers, adult, fisherman, stone, esthetics, fun",Fishing Adventure Games,"This topic involves discussions on the fun and aesthetics of adult-oriented virtual reality games in the genre of fishing, with specific emphasis on elements such as defense mechanics and rolling actions.",Adventure Games,15994,15496
1,"ie, audio, houses, aftershock, winded, lil, tap, mmorpg, interactions, frustrating",Audio Interactions,"This topic involves discussions about audio interactions, specifically related to elements like in-game environment sounds (wind, houses, aftershock) and interaction mechanics (tap, lil) in Virtual Reality Massively Multiplayer Online Role-Playing Games (VR MMORPGs), with an emphasis on the resulting experiences, which may be frustrating for some players.",Audio Interactions,20952,20045
2,"rolls, boss, controls, sit, success, cap, uncomfortable, repeatedly, likes, paying",Comfort Issues,"This topic covers discussions related to the control mechanisms in VR games, the discomfort some players might experience, and strategies for success, particularly in boss fights or when performing repeated actions.",Comfort Issues,21312,20832
3,"customisation, expirience, peoples, wilson, explore, adventures, exactly, keeping, from, ranking | dollars, walks, customise, bare, flip, skyrim, sooooo, polished, they, freezing",Customization,"This topic refers to discussions about the customization of VR games, the unique experiences these games provide, exploration elements, and the ranking systems, with a particular focus on games like ""Wilson's Heart"" and other adventure genres. | This topic revolves around the discussion of the cost, customization options, quality, and performance issues in VR games, with a specific focus on games like Skyrim.",Customization,35389,34204
4,"woman, lobby, length, unnatural, warned, optional, archangels, greatest, planned, waist",Female Character Design,"This topic covers discussions about the representation and design of female characters in VR games, with emphasis on aspects such as optional appearances, their presence in game lobbies, and the criticism of unnatural body proportions.",Female Character,22275,21710
5,"opportunities, such, replayability, unlocked, laughs, named, spots, outstanding, downloaded, fills | primarily, amazing, 2hrs, spoilers, pistols, inappropriate, camp, worlds, instead, abandoned",Game Content,"This topic involves discussions about the replayability of VR games, opportunities to unlock new content, and the outstanding, fun-filled experiences that these games offer. | This topic explores player discussions about the amazing experiences in VR gaming, particularly in regards to specific games with elements like pistols and camps, the appropriateness of certain content, and instances of abandoning game worlds after around 2 hours of gameplay.",Game Content,31509,30457
6,"jump, gimmicks, stable, s8, fired, graphics, hi, pls, adaptation, packs | going, cv1, child, wondered, comment, google, houses, colorful, changing, graphic",VR Graphics,"This topic covers discussions about jumping mechanics, gameplay gimmicks, stability, graphics quality, and adaptation in VR games, along with specific mentions of the Samsung S8 and additional content packs. | This topic focuses on discussions around the graphic quality of VR games, specifically in relation to colorful and changing environments, and the application of these features in creating child-friendly virtual experiences.",Game Graphics,40295,39023
7,"shards, buttons, ha, eager, intend, suggestions, semi, holster, exynos, jeez",Game Interface,"This topic covers discussions about interactive elements like shards and buttons, user suggestions for game improvement, performance issues related to Exynos chips, and users' intentions and eagerness to play VR games.",Game Interface,16777,16194
8,"mag, apple, royale, misses, ice, warning, sensible, allow, trios, magically | gym, mags, against, conditions, liking, developer, armor, luck, blend, cops",Mechanics | Gameplay Mechanics,"This topic focuses on various elements in VR games such as game mechanics, player warnings, and special features, specifically highlighting elements like magic, trio team play, and 'misses' or game errors. | This topic is about the discussions on various aspects of VR games, including game elements like gyms, mags, armor, and cops, game conditions, player's liking, and the role of luck, with a special focus on developer's choices and how they blend these elements together.",Game Mechanics,34943,33917
9,"wounds, display, respective, stories, rage, sub, context, strategize, chatting, everyone",Game Story,"This topic covers discussions about strategizing and communicating in VR gaming, particularly in the context of story-driven games where players handle virtual wounds, and share their respective experiences and frustrations (rage).",Game Story,15153,14724
